ID,TruncatedID,Mean,SD,AUC,Peak,MaxIndex,Halfpk,Skew,HHMean,Fat,Carb,Protein
2133-002_PB1,2133-002,0.24710648148148148,0.17258226780906,0.3704278249510124,0.1958762886597938,0.4722222222222222,0.8857142857142857,0.4713268896245147,0.23861386138613863,20.0,51,18
2133-022_PB1,2133-022,0.35108024691358025,0.3197840417746988,0.32021554539516656,0.34536082474226804,0.3888888888888889,0.6571428571428571,0.5504567330907868,0.25346534653465347,20.0,51,18
2133-020_PB1,2133-020,0.28896604938271603,0.12477872422288949,0.4051273677335075,0.18556701030927836,0.1111111111111111,0.8857142857142857,0.34849967253790237,0.2881188118811881,20.0,51,18
2133-004_Bar2,2133-004,0.4841820987654321,0.329473741457284,0.5685826257348139,0.4536082474226804,0.5555555555555556,0.8857142857142857,0.5781996857990921,0.3237623762376237,18.0,48,9
2133-010_CF2,2133-010,0.14454330632716045,0.13771407643739972,0.2217504898758981,0.11855670103092783,0.4444444444444444,0.7428571428571429,0.6047820787536161,0.14554455445544556,2.5,54,11
2133-010_CF1,2133-010,0.3296682098765432,0.23898595670745182,0.44007184846505554,0.34536082474226804,0.5,0.8857142857142857,0.7372911337611983,0.3039603960396039,2.5,54,11
2133-020_CF1,2133-020,0.3734567901234567,0.5177434536453192,0.47926192031352055,0.4948453608247423,0.4722222222222222,0.6857142857142857,0.6106429983663121,0.12277227722772274,2.5,54,11
2133-022_PB2,2133-022,0.298996913580247,0.42732052054336195,0.4156596995427825,0.3917525773195876,0.4166666666666667,0.6,0.6221136247371702,0.11881188118811879,20.0,51,18
2133-015_CF2,2133-015,0.642746913580247,0.386498634532333,0.7012573481384716,0.5876288659793815,0.3333333333333333,0.8857142857142857,0.4952919024187066,0.4485148514851485,2.5,54,11
2133-022_Bar1,2133-022,0.4120370370370372,0.37040770091141495,0.5095525800130634,0.4742268041237113,0.4444444444444444,0.8857142857142857,0.7093342362824971,0.30099009900990104,18.0,48,9
2133-002_Bar2,2133-002,0.33603395061728386,0.2708507509351121,0.44546048334421945,0.23711340206185566,0.8055555555555556,0.8857142857142857,0.331573815201953,0.4277227722772277,18.0,48,9
2133-040_Bar2,2133-040,0.3250385802469136,0.14339157402447109,0.43639777922926193,0.25773195876288657,0.25,0.8857142857142857,0.6641503530187846,0.3297029702970297,18.0,48,9
2133-013_Bar2,2133-013,0.2880015432098764,0.053515311833714475,0.40504572175048986,0.14948453608247422,0.4444444444444444,0.8857142857142857,0.4062483240002702,0.30594059405940593,18.0,48,9
2133-008_Bar1,2133-008,0.263695987654321,0.25066759872634065,0.38569562377531025,0.27835051546391754,0.3611111111111111,0.8857142857142857,0.5542844559183527,0.29207920792079206,18.0,48,9
2133-019_CF2,2133-019,0.3414351851851852,0.30231698597955486,0.45117570215545394,0.3402061855670103,0.4722222222222222,0.8857142857142857,0.5807796700859312,0.18910891089108905,2.5,54,11
2133-015_PB1,2133-015,0.4137731481481483,0.11925847536312495,0.5091443500979752,0.29896907216494845,0.5277777777777778,0.8857142857142857,0.5050894456720716,0.3574257425742574,20.0,51,18
2133-013_PB2,2133-013,0.22260802469135801,0.07696864402648543,0.3214402351404311,0.10824742268041238,0.6666666666666666,0.8285714285714286,0.48712452286807617,0.2702970297029703,20.0,51,18
2133-001_Bar1,2133-001,0.2150848765432099,0.20882172249416214,0.3453625081645983,0.20618556701030927,0.4166666666666667,0.8857142857142857,0.6286119036762191,0.1316831683168317,18.0,48,9
2133-024_CF2,2133-024,0.06180782498184452,0.13605298468041743,0.0,0.05154639175257732,0.0,0.3142857142857143,0.6075613253662484,0.02376237623762368,2.5,54,11
2133-011_PB1,2133-011,0.2511574074074074,0.13688578752705605,0.3747550620509471,0.17525773195876287,0.3888888888888889,0.8857142857142857,0.43995616523420533,0.30495049504950494,20.0,51,18
2133-004_PB1,2133-004,0.48539211560044887,0.06372958845532048,0.25832789026779884,0.30412371134020616,0.4444444444444444,0.45714285714285713,0.4816162836303984,0.5257425742574257,20.0,51,18
2133-018_CF2,2133-018,0.8562885802469139,0.7755726714691746,0.8816949706074461,0.8865979381443299,0.4722222222222222,0.7142857142857143,0.44000478546820476,0.6702970297029703,2.5,54,11
2133-006_CF2,2133-006,0.2008101851851852,0.1990073911020477,0.3303396472893534,0.20618556701030927,0.9722222222222222,0.8857142857142857,0.6645201639679139,0.2603960396039604,2.5,54,11
2133-032_Bar1,2133-032,0.33442644032921826,0.2842569658163672,0.4266002612671457,0.3402061855670103,0.4166666666666667,0.8571428571428571,0.6420546743614243,0.22871287128712872,18.0,48,9
2133-025_PB1,2133-025,0.2185570987654321,0.12921864854826956,0.34773024167210975,0.14432989690721648,0.3888888888888889,0.8857142857142857,0.5297195915517606,0.20495049504950494,20.0,51,18
2133-019_CF1,2133-019,0.8140432098765434,0.35635423664416455,0.8410352710646636,0.7268041237113402,0.4722222222222222,0.8857142857142857,0.6381477140678536,0.7366336633663367,2.5,54,11
2133-032_PB2,2133-032,0.20273919753086403,0.17591906959923267,0.3354833442194644,0.17525773195876287,0.5,0.8857142857142857,0.6397165241725105,0.17425742574257425,20.0,51,18
2133-013_CF1,2133-013,0.4625021433470509,0.36244107007847887,0.5307805355976486,0.5,0.5277777777777778,0.8571428571428571,0.6823335360126935,0.3524752475247524,2.5,54,11
2133-032_PB1,2133-032,0.38020833333333337,0.37497993222774356,0.48448726322664926,0.36597938144329895,0.5,0.8571428571428571,0.47502547296968123,0.28613861386138617,20.0,51,18
2133-017_PB1,2133-017,0.45505401234567905,0.49265806885151336,0.549069235793599,0.4175257731958763,0.6666666666666666,0.7428571428571429,0.28568418670386453,0.410891089108911,20.0,51,18
2133-040_CF2,2133-040,0.28703703703703726,0.13771407643739972,0.4048824297844546,0.19072164948453607,0.6388888888888888,0.8857142857142857,0.32964229059348427,0.31287128712871287,2.5,54,11
2133-002_PB2,2133-002,0.2656250000000002,0.24731400616156046,0.3862671456564337,0.19072164948453607,0.8611111111111112,0.8857142857142857,0.39669638754879866,0.39999999999999997,20.0,51,18
2133-040_CF1,2133-040,0.18827160493827172,0.10951942321235131,0.32315480078380143,0.14432989690721648,0.2777777777777778,0.8857142857142857,0.7434338976253891,0.19405940594059407,2.5,54,11
2133-017_Bar2,2133-017,0.6502539866255145,0.47951135915485127,0.6829686479425212,0.6082474226804123,0.3611111111111111,0.7142857142857143,0.3101564537364812,0.6861386138613861,18.0,48,9
2133-024_Bar2,2133-024,0.41636596768336975,0.5215351592355614,0.4592586544741999,0.4742268041237113,0.4166666666666667,0.5428571428571428,0.5068734141614986,0.14653465346534653,18.0,48,9
2133-018_CF1,2133-018,1.0,1.0,1.0,1.0,0.5833333333333334,0.6571428571428571,0.3642457289347434,1.0,2.5,54,11
2133-028_PB2,2133-028,0.0,0.08854331750487751,0.1668027433050294,0.0,0.19444444444444445,0.8857142857142857,0.5568512718785513,0.014851485148514825,20.0,51,18
2133-013_Bar1,2133-013,0.27584876543209863,0.12204620932375744,0.39541149575440887,0.20618556701030927,0.4722222222222222,0.8857142857142857,0.6360560072609305,0.2891089108910891,18.0,48,9
2133-039_CF2,2133-039,0.3449074074074073,0.12745917691064096,0.4516655780535598,0.22164948453608246,0.4444444444444444,0.8857142857142857,0.31442338224177135,0.3762376237623763,2.5,54,11
