ID,TruncatedID,Mean,SD,AUC,Peak,MaxIndex,Halfpk,Skew,HHMean,Fat,Carb,Protein
2133-002_PB1,2133-002,92.43243243243244,11.832159566199234,998100.0,114,17,185,0.014158490021060234,88.85714285714286,20.0,51,18
2133-022_PB1,2133-022,107.0,21.07130750570548,905850.0,143,14,145,0.3925374458219255,91.0,20.0,51,18
2133-020_PB1,2133-020,98.29729729729729,8.831760866327848,1061850.0,112,4,185,-0.5731702864470478,96.0,20.0,51,18
2133-004_Bar2,2133-004,125.64864864864865,21.679483388678797,1362150.0,164,20,185,0.5251972492129894,101.14285714285714,18.0,48,9
2133-010_CF2,2133-010,78.0625,9.643650760992957,724950.0,99,16,160,0.6523075485415637,75.42857142857143,2.5,54,11
2133-010_CF1,2133-010,104.0,16.0,1126050.0,143,18,185,1.2859324322973256,98.28571428571428,2.5,54,11
2133-020_CF1,2133-020,110.13513513513512,33.49626844888845,1198050.0,172,17,150,0.680332988071593,72.14285714285714,2.5,54,11
2133-022_PB2,2133-022,99.70270270270271,27.82085548648711,1081200.0,152,15,135,0.7351826306143229,71.57142857142857,20.0,51,18
2133-015_CF2,2133-015,147.86486486486487,25.25866188063018,1605900.0,190,12,185,0.12875313749670864,119.14285714285714,2.5,54,11
2133-022_Bar1,2133-022,115.54054054054056,24.248711305964278,1253700.0,168,16,185,1.1522495989686887,97.85714285714286,18.0,48,9
2133-002_Bar2,2133-002,104.89189189189187,18.0,1135950.0,122,29,185,-0.6541054677170662,116.14285714285714,18.0,48,9
2133-040_Bar2,2133-040,103.35135135135135,10.0,1119300.0,126,9,185,0.9361916640678204,102.0,18.0,48,9
2133-013_Bar2,2133-013,98.16216216216215,4.358898943540674,1061700.0,105,16,185,-0.2970307987131636,98.57142857142857,18.0,48,9
2133-008_Bar1,2133-008,94.75675675675676,16.73320053068151,1026150.0,130,13,185,0.41084065107478107,96.57142857142857,18.0,48,9
2133-019_CF2,2133-019,105.64864864864865,19.974984355438174,1146450.0,142,17,185,0.5375340834296893,81.71428571428571,2.5,54,11
2133-015_PB1,2133-015,115.7837837837838,8.48528137423857,1252950.0,134,19,185,0.17560251850429534,106.0,20.0,51,18
2133-013_PB2,2133-013,89.0,5.830951894845301,908100.0,97,24,175,0.08969878820668277,93.42857142857143,20.0,51,18
2133-001_Bar1,2133-001,87.94594594594595,14.106735979665885,952050.0,116,15,185,0.7662557617081317,73.42857142857143,18.0,48,9
2133-024_CF2,2133-024,66.47058823529412,9.539392014169456,317550.0,86,0,85,0.6655972049484931,57.85714285714285,2.5,54,11
2133-011_PB1,2133-011,93.0,9.591663046625438,1006050.0,110,14,185,-0.1358484026702086,98.42857142857143,20.0,51,18
2133-004_PB1,2133-004,125.8181818181818,5.0,792150.0,135,16,110,0.06335977728797358,130.28571428571428,20.0,51,18
2133-018_CF2,2133-018,177.7837837837838,49.67896939349689,1937400.0,248,17,155,-0.13561591297269826,151.14285714285714,2.5,54,11
2133-006_CF2,2133-006,85.94594594594595,13.490737563232043,924450.0,116,35,185,0.9379600067644028,92.0,2.5,54,11
2133-032_Bar1,2133-032,104.66666666666669,18.841443681416774,1101300.0,142,15,180,0.8305357010094954,87.42857142857143,18.0,48,9
2133-025_PB1,2133-025,88.43243243243244,9.110433579144301,956400.0,104,14,185,0.293377664655722,84.0,20.0,51,18
2133-019_CF1,2133-019,171.86486486486487,23.366642891095854,1862700.0,217,17,185,0.8118536021770013,160.71428571428572,2.5,54,11
2133-032_PB2,2133-032,86.2162162162162,12.041594578792296,933900.0,110,18,185,0.8193552564612403,79.57142857142857,20.0,51,18
2133-013_CF1,2133-013,122.61111111111113,23.748684174075837,1292700.0,173,19,180,1.0231390595508392,105.28571428571428,2.5,54,11
2133-032_PB1,2133-032,111.08108108108108,24.535688292770594,1207650.0,147,18,180,0.03184418283660432,95.71428571428572,20.0,51,18
2133-017_PB1,2133-017,121.56756756756756,31.921779399024736,1326300.0,157,24,160,-0.8735380983477252,113.71428571428572,20.0,51,18
2133-040_CF2,2133-040,98.02702702702706,9.643650760992957,1061400.0,113,23,185,-0.6633415312860232,99.57142857142857,2.5,54,11
2133-002_PB2,2133-002,95.02702702702706,16.522711641858304,1027200.0,113,31,185,-0.3427057499333634,112.14285714285714,20.0,51,18
2133-040_CF1,2133-040,84.18918918918921,7.874007874011811,911250.0,104,10,185,1.3153055799600593,82.42857142857143,2.5,54,11
2133-017_Bar2,2133-017,148.91666666666666,31.096623610932426,1572300.0,194,13,155,-0.7565178890277325,153.42857142857142,18.0,48,9
2133-024_Bar2,2133-024,116.14705882352942,33.734255586866,1161300.0,168,15,125,0.18413300592398454,75.57142857142857,18.0,48,9
2133-018_CF1,2133-018,197.9189189189189,63.76519426771944,2154750.0,270,21,145,-0.4978766157353431,198.7142857142857,2.5,54,11
2133-028_PB2,2133-028,57.81081081081082,6.5574385243019995,624000.0,76,7,185,0.4231145176743897,56.57142857142857,20.0,51,18
